Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,SO50-AC,436.805000,split,145.850000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
2,SO50-1,436.805000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
3,SO50-2,436.800000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
4,SO50-3,436.795000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
5,SO50-4,436.790000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
6,SO50-5,436.785000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
8,AO85-1,145.980000,split,435.160000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
9,AO85-2,145.980000,split,435.165000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
10,AO85-3,145.980000,split,435.170000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
11,AO85-4,145.980000,split,435.175000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
12,AO85-5,145.980000,split,435.180000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
14,AO91-1,145.960000,split,435.240000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
15,AO91-2,145.960000,split,435.245000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
16,AO91-3,145.960000,split,435.250000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
17,AO91-4,145.960000,split,435.255000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
18,AO91-5,145.960000,split,435.260000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
20,AO92-1,145.880000,split,435.340000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
21,AO92-2,145.880000,split,435.345000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
22,A092-3,145.880000,split,435.350000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
23,A092-4,145.880000,split,435.355000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
24,AO92-5,145.880000,split,435.360000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
26,AO95-1,145.920000,split,435.290000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
27,AO95-2,145.920000,split,435.295000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
28,AO95-3,145.920000,split,435.300000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
29,AO95-4,145.920000,split,435.305000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
30,AO95-5,145.920000,split,435.310000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
32,IO86-1,435.890000,split,145.880000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
33,IO86-2,435.885000,split,145.880000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
34,IO86-3,435.880000,split,145.880000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
35,IO86-4,435.875000,split,145.880000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
36,IO86-5,435.870000,split,145.880000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
38,CAS3H-1,437.210000,split,144.350000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,CAS3H-2,437.205000,split,144.350000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,CAS3H-3,437.200000,split,144.350000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,CAS3H-4,437.195000,split,144.350000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,CAS3H-5,437.190000,split,144.350000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,DIW2-1,145.900000,split,437.690000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,DIW2-2,145.900000,split,437.695000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,DIW2-3,145.900000,split,437.700000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,DIW2-4,145.900000,split,437.705000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,DIW2-5,145.900000,split,437.710000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,PO101-1,145.900000,split,437.490000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
51,PO101-2,145.900000,split,437.495000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
52,PO101-3,145.900000,split,437.500000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
53,PO101-4,145.900000,split,437.505000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
54,PO101-5,145.900000,split,437.510000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
56,ISS-1,145.800000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
